"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","Quantity","QuantityToken"
"H5","CHN","01","China","CHN","China",2017,"Gross Imp.",1,2959.958,0,1
"H5","CHN","01","China","CHN","China",2018,"Gross Imp.",1,346.035,0,1
"H5","CHN","01","China","CHN","China",2019,"Gross Imp.",1,174.749,0,1
"H5","CHN","01","China","CHN","China",2020,"Gross Imp.",1,200,0,1
"H5","CHN","01","China","USA","United States",2017,"Gross Imp.",1,15781.141,0,1
"H5","CHN","01","China","USA","United States",2018,"Gross Imp.",1,15879.264,0,1
"H5","CHN","01","China","USA","United States",2019,"Gross Imp.",1,6295.21,0,1
"H5","CHN","01","China","USA","United States",2020,"Gross Imp.",1,17080.034,0,1
"H5","CHN","01","China","USA","United States",2021,"Gross Imp.",1,46750.426,0,1
"H5","CHN","01","China","WLD"," World",2017,"Gross Imp.",1,363839.499,0,1
"H5","CHN","01","China","WLD"," World",2018,"Gross Imp.",1,411709.783,0,1
"H5","CHN","01","China","WLD"," World",2019,"Gross Imp.",1,497696.719,0,1
"H5","CHN","01","China","WLD"," World",2020,"Gross Imp.",1,634691.907,0,1
"H5","CHN","01","China","WLD"," World",2021,"Gross Imp.",1,942401.068,0,1
"H5","CHN","02","China","USA","United States",2017,"Gross Imp.",1,1186891.716,0,1
"H5","CHN","02","China","USA","United States",2018,"Gross Imp.",1,536553.714,0,1
"H5","CHN","02","China","USA","United States",2019,"Gross Imp.",1,866658.196,0,1
"H5","CHN","02","China","USA","United States",2020,"Gross Imp.",1,3129970.688,0,1
"H5","CHN","02","China","USA","United States",2021,"Gross Imp.",1,4112613.987,0,1
"H5","CHN","02","China","WLD"," World",2017,"Gross Imp.",1,9486551.081,0,1
"H5","CHN","02","China","WLD"," World",2018,"Gross Imp.",1,11018384.512,0,1
"H5","CHN","02","China","WLD"," World",2019,"Gross Imp.",1,18832475.347,0,1
"H5","CHN","02","China","WLD"," World",2020,"Gross Imp.",1,30268514.046,0,1
"H5","CHN","02","China","WLD"," World",2021,"Gross Imp.",1,31583805.964,0,1
"H5","CHN","03","China","CHN","China",2017,"Gross Imp.",1,74011.818,0,1
"H5","CHN","03","China","CHN","China",2018,"Gross Imp.",1,29134.472,0,1
"H5","CHN","03","China","CHN","China",2019,"Gross Imp.",1,22659.184,0,1
"H5","CHN","03","China","CHN","China",2020,"Gross Imp.",1,49267.476,0,1
"H5","CHN","03","China","CHN","China",2021,"Gross Imp.",1,46218.299,0,1
"H5","CHN","03","China","USA","United States",2017,"Gross Imp.",1,1315053.47,0,1
"H5","CHN","03","China","USA","United States",2018,"Gross Imp.",1,1250828.496,0,1
"H5","CHN","03","China","USA","United States",2019,"Gross Imp.",1,912159.41,0,1
"H5","CHN","03","China","USA","United States",2020,"Gross Imp.",1,776983.953,0,1
"H5","CHN","03","China","USA","United States",2021,"Gross Imp.",1,975163.232,0,1
"H5","CHN","03","China","WLD"," World",2017,"Gross Imp.",1,8070777.269,0,1
"H5","CHN","03","China","WLD"," World",2018,"Gross Imp.",1,11599017.824,0,1
"H5","CHN","03","China","WLD"," World",2019,"Gross Imp.",1,15414354.725,0,1
"H5","CHN","03","China","WLD"," World",2020,"Gross Imp.",1,12366189.004,0,1
"H5","CHN","03","China","WLD"," World",2021,"Gross Imp.",1,13806437.455,0,1
"H5","CHN","04","China","CHN","China",2017,"Gross Imp.",1,614.238,0,1
"H5","CHN","04","China","CHN","China",2018,"Gross Imp.",1,48.626,0,1
"H5","CHN","04","China","CHN","China",2019,"Gross Imp.",1,530.588,0,1
"H5","CHN","04","China","CHN","China",2020,"Gross Imp.",1,8.661,0,1
"H5","CHN","04","China","CHN","China",2021,"Gross Imp.",1,13.352,0,1
"H5","CHN","04","China","USA","United States",2017,"Gross Imp.",1,427851.656,0,1
"H5","CHN","04","China","USA","United States",2018,"Gross Imp.",1,328770.58,0,1
"H5","CHN","04","China","USA","United States",2019,"Gross Imp.",1,178400.016,0,1
"H5","CHN","04","China","USA","United States",2020,"Gross Imp.",1,312697.064,0,1
"H5","CHN","04","China","USA","United States",2021,"Gross Imp.",1,485264.263,0,1
"H5","CHN","04","China","WLD"," World",2017,"Gross Imp.",1,5069954.056,0,1
"H5","CHN","04","China","WLD"," World",2018,"Gross Imp.",1,5601287.389,0,1
"H5","CHN","04","China","WLD"," World",2019,"Gross Imp.",1,6349591.22,0,1
"H5","CHN","04","China","WLD"," World",2020,"Gross Imp.",1,7288503.728,0,1
"H5","CHN","04","China","WLD"," World",2021,"Gross Imp.",1,9692954.343,0,1
"H5","CHN","05","China","CHN","China",2017,"Gross Imp.",1,3436.223,0,1
"H5","CHN","05","China","CHN","China",2018,"Gross Imp.",1,3130.41,0,1
"H5","CHN","05","China","CHN","China",2019,"Gross Imp.",1,5669.377,0,1
"H5","CHN","05","China","CHN","China",2020,"Gross Imp.",1,2869.367,0,1
"H5","CHN","05","China","CHN","China",2021,"Gross Imp.",1,1619.959,0,1
"H5","CHN","05","China","USA","United States",2017,"Gross Imp.",1,111547.383,0,1
"H5","CHN","05","China","USA","United States",2018,"Gross Imp.",1,120161.046,0,1
"H5","CHN","05","China","USA","United States",2019,"Gross Imp.",1,160625.419,0,1
"H5","CHN","05","China","USA","United States",2020,"Gross Imp.",1,235399.035,0,1
"H5","CHN","05","China","USA","United States",2021,"Gross Imp.",1,343691.12,0,1
"H5","CHN","05","China","WLD"," World",2017,"Gross Imp.",1,613505.827,0,1
"H5","CHN","05","China","WLD"," World",2018,"Gross Imp.",1,729635.05,0,1
"H5","CHN","05","China","WLD"," World",2019,"Gross Imp.",1,855814.367,0,1
"H5","CHN","05","China","WLD"," World",2020,"Gross Imp.",1,762323.285,0,1
"H5","CHN","05","China","WLD"," World",2021,"Gross Imp.",1,1048841.385,0,1
"H5","CHN","06","China","CHN","China",2017,"Gross Imp.",1,37.326,0,1
"H5","CHN","06","China","CHN","China",2018,"Gross Imp.",1,18.824,0,1
"H5","CHN","06","China","CHN","China",2019,"Gross Imp.",1,2.5,0,1
"H5","CHN","06","China","CHN","China",2020,"Gross Imp.",1,3.992,0,1
"H5","CHN","06","China","CHN","China",2021,"Gross Imp.",1,6.14,0,1
"H5","CHN","06","China","USA","United States",2017,"Gross Imp.",1,4112.14,0,1
"H5","CHN","06","China","USA","United States",2018,"Gross Imp.",1,5709.801,0,1
"H5","CHN","06","China","USA","United States",2019,"Gross Imp.",1,6142.906,0,1
"H5","CHN","06","China","USA","United States",2020,"Gross Imp.",1,6655.276,0,1
"H5","CHN","06","China","USA","United States",2021,"Gross Imp.",1,7988.482,0,1
"H5","CHN","06","China","WLD"," World",2017,"Gross Imp.",1,280863.437,0,1
"H5","CHN","06","China","WLD"," World",2018,"Gross Imp.",1,292744.148,0,1
"H5","CHN","06","China","WLD"," World",2019,"Gross Imp.",1,269969.913,0,1
"H5","CHN","06","China","WLD"," World",2020,"Gross Imp.",1,243751.482,0,1
"H5","CHN","06","China","WLD"," World",2021,"Gross Imp.",1,244305.405,0,1
"H5","CHN","07","China","CHN","China",2017,"Gross Imp.",1,1474.476,0,1
"H5","CHN","07","China","CHN","China",2018,"Gross Imp.",1,1776.652,0,1
"H5","CHN","07","China","CHN","China",2019,"Gross Imp.",1,2582.464,0,1
"H5","CHN","07","China","CHN","China",2020,"Gross Imp.",1,1307.135,0,1
"H5","CHN","07","China","CHN","China",2021,"Gross Imp.",1,973.284,0,1
"H5","CHN","07","China","USA","United States",2017,"Gross Imp.",1,44675.851,0,1
"H5","CHN","07","China","USA","United States",2018,"Gross Imp.",1,32217.983,0,1
"H5","CHN","07","China","USA","United States",2019,"Gross Imp.",1,31732.327,0,1
"H5","CHN","07","China","USA","United States",2020,"Gross Imp.",1,61243.224,0,1
"H5","CHN","07","China","USA","United States",2021,"Gross Imp.",1,47759.647,0,1
"H5","CHN","07","China","WLD"," World",2017,"Gross Imp.",1,2015745.215,0,1
"H5","CHN","07","China","WLD"," World",2018,"Gross Imp.",1,2037929.387,0,1
"H5","CHN","07","China","WLD"," World",2019,"Gross Imp.",1,1566462.071,0,1
"H5","CHN","07","China","WLD"," World",2020,"Gross Imp.",1,1956687.688,0,1
"H5","CHN","07","China","WLD"," World",2021,"Gross Imp.",1,2855496.789,0,1
"H5","CHN","08","China","CHN","China",2017,"Gross Imp.",1,963.677,0,1
"H5","CHN","08","China","CHN","China",2018,"Gross Imp.",1,586.097,0,1
"H5","CHN","08","China","CHN","China",2019,"Gross Imp.",1,566.047,0,1
"H5","CHN","08","China","CHN","China",2020,"Gross Imp.",1,1001.868,0,1
"H5","CHN","08","China","CHN","China",2021,"Gross Imp.",1,1735.708,0,1
"H5","CHN","08","China","USA","United States",2017,"Gross Imp.",1,765848.723,0,1
"H5","CHN","08","China","USA","United States",2018,"Gross Imp.",1,807921.247,0,1
"H5","CHN","08","China","USA","United States",2019,"Gross Imp.",1,966051.389,0,1
"H5","CHN","08","China","USA","United States",2020,"Gross Imp.",1,726292.678,0,1
"H5","CHN","08","China","USA","United States",2021,"Gross Imp.",1,1020740.648,0,1
"H5","CHN","08","China","WLD"," World",2017,"Gross Imp.",1,6395218.154,0,1
"H5","CHN","08","China","WLD"," World",2018,"Gross Imp.",1,8682012.304,0,1
"H5","CHN","08","China","WLD"," World",2019,"Gross Imp.",1,11665067.121,0,1
"H5","CHN","08","China","WLD"," World",2020,"Gross Imp.",1,12097680.157,0,1
"H5","CHN","08","China","WLD"," World",2021,"Gross Imp.",1,15916076.215,0,1
"H5","CHN","09","China","CHN","China",2017,"Gross Imp.",1,32674.934,0,1
"H5","CHN","09","China","CHN","China",2018,"Gross Imp.",1,5598.112,0,1
"H5","CHN","09","China","CHN","China",2019,"Gross Imp.",1,5999.683,0,1
"H5","CHN","09","China","CHN","China",2020,"Gross Imp.",1,4827.622,0,1
"H5","CHN","09","China","CHN","China",2021,"Gross Imp.",1,1612.602,0,1
"H5","CHN","09","China","USA","United States",2017,"Gross Imp.",1,17762.943,0,1
"H5","CHN","09","China","USA","United States",2018,"Gross Imp.",1,20775.837,0,1
"H5","CHN","09","China","USA","United States",2019,"Gross Imp.",1,17349.124,0,1
"H5","CHN","09","China","USA","United States",2020,"Gross Imp.",1,15056.458,0,1
"H5","CHN","09","China","USA","United States",2021,"Gross Imp.",1,16776.863,0,1
"H5","CHN","09","China","WLD"," World",2017,"Gross Imp.",1,472245.966,0,1
"H5","CHN","09","China","WLD"," World",2018,"Gross Imp.",1,633849.64,0,1
"H5","CHN","09","China","WLD"," World",2019,"Gross Imp.",1,952080.719,0,1
"H5","CHN","09","China","WLD"," World",2020,"Gross Imp.",1,1237229.227,0,1
"H5","CHN","09","China","WLD"," World",2021,"Gross Imp.",1,1681008.126,0,1
"H5","CHN","10","China","CHN","China",2017,"Gross Imp.",1,174.53,0,1
"H5","CHN","10","China","CHN","China",2018,"Gross Imp.",1,3.536,0,1
"H5","CHN","10","China","CHN","China",2019,"Gross Imp.",1,0.032,0,1
"H5","CHN","10","China","CHN","China",2020,"Gross Imp.",1,30.096,0,1
"H5","CHN","10","China","USA","United States",2017,"Gross Imp.",1,1509836.271,0,1
"H5","CHN","10","China","USA","United States",2018,"Gross Imp.",1,908671.853,0,1
"H5","CHN","10","China","USA","United States",2019,"Gross Imp.",1,274826.17,0,1
"H5","CHN","10","China","USA","United States",2020,"Gross Imp.",1,2448429.036,0,1
