"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H5","CHN","01","China","CHN","China",2017,"Gross Imp.",1,2959.958
"H5","CHN","01","China","CHN","China",2018,"Gross Imp.",1,346.035
"H5","CHN","01","China","CHN","China",2019,"Gross Imp.",1,174.749
"H5","CHN","01","China","CHN","China",2020,"Gross Imp.",1,200
"H5","CHN","01","China","USA","United States",2017,"Gross Exp.",2,27138.442
"H5","CHN","01","China","USA","United States",2017,"Gross Imp.",1,15781.141
"H5","CHN","01","China","USA","United States",2018,"Gross Exp.",2,35026.556
"H5","CHN","01","China","USA","United States",2018,"Gross Imp.",1,15879.264
"H5","CHN","01","China","USA","United States",2019,"Gross Exp.",2,33275.506
"H5","CHN","01","China","USA","United States",2019,"Gross Imp.",1,6295.21
"H5","CHN","01","China","USA","United States",2020,"Gross Exp.",2,2601.743
"H5","CHN","01","China","USA","United States",2020,"Gross Imp.",1,17080.034
"H5","CHN","01","China","USA","United States",2021,"Gross Exp.",2,4077.434
"H5","CHN","01","China","USA","United States",2021,"Gross Imp.",1,46750.426
"H5","CHN","01","China","WLD"," World",2017,"Gross Exp.",2,561540.982
"H5","CHN","01","China","WLD"," World",2017,"Gross Imp.",1,363839.499
"H5","CHN","01","China","WLD"," World",2018,"Gross Exp.",2,544085.686
"H5","CHN","01","China","WLD"," World",2018,"Gross Imp.",1,411709.783
"H5","CHN","01","China","WLD"," World",2019,"Gross Exp.",2,510018.095
"H5","CHN","01","China","WLD"," World",2019,"Gross Imp.",1,497696.719
"H5","CHN","01","China","WLD"," World",2020,"Gross Exp.",2,599665.085
"H5","CHN","01","China","WLD"," World",2020,"Gross Imp.",1,634691.907
"H5","CHN","01","China","WLD"," World",2021,"Gross Exp.",2,560872.167
"H5","CHN","01","China","WLD"," World",2021,"Gross Imp.",1,942401.068
"H5","CHN","02","China","USA","United States",2017,"Gross Exp.",2,4135.623
"H5","CHN","02","China","USA","United States",2017,"Gross Imp.",1,1186891.716
"H5","CHN","02","China","USA","United States",2018,"Gross Exp.",2,3182.312
"H5","CHN","02","China","USA","United States",2018,"Gross Imp.",1,536553.714
"H5","CHN","02","China","USA","United States",2019,"Gross Exp.",2,2976.218
"H5","CHN","02","China","USA","United States",2019,"Gross Imp.",1,866658.196
"H5","CHN","02","China","USA","United States",2020,"Gross Exp.",2,3353.376
"H5","CHN","02","China","USA","United States",2020,"Gross Imp.",1,3129970.688
"H5","CHN","02","China","USA","United States",2021,"Gross Exp.",2,2505.076
"H5","CHN","02","China","USA","United States",2021,"Gross Imp.",1,4112613.987
"H5","CHN","02","China","WLD"," World",2017,"Gross Exp.",2,916484.021
"H5","CHN","02","China","WLD"," World",2017,"Gross Imp.",1,9486551.081
"H5","CHN","02","China","WLD"," World",2018,"Gross Exp.",2,866026.267
"H5","CHN","02","China","WLD"," World",2018,"Gross Imp.",1,11018384.512
"H5","CHN","02","China","WLD"," World",2019,"Gross Exp.",2,841003.977
"H5","CHN","02","China","WLD"," World",2019,"Gross Imp.",1,18832475.347
"H5","CHN","02","China","WLD"," World",2020,"Gross Exp.",2,710791.472
"H5","CHN","02","China","WLD"," World",2020,"Gross Imp.",1,30268514.046
"H5","CHN","02","China","WLD"," World",2021,"Gross Exp.",2,872320.069
"H5","CHN","02","China","WLD"," World",2021,"Gross Imp.",1,31583805.964
"H5","CHN","03","China","CHN","China",2017,"Gross Imp.",1,74011.818
"H5","CHN","03","China","CHN","China",2018,"Gross Imp.",1,29134.472
"H5","CHN","03","China","CHN","China",2019,"Gross Imp.",1,22659.184
"H5","CHN","03","China","CHN","China",2020,"Gross Imp.",1,49267.476
"H5","CHN","03","China","CHN","China",2021,"Gross Imp.",1,46218.299
"H5","CHN","03","China","USA","United States",2017,"Gross Exp.",2,1714898.004
"H5","CHN","03","China","USA","United States",2017,"Gross Imp.",1,1315053.47
"H5","CHN","03","China","USA","United States",2018,"Gross Exp.",2,1751675.681
"H5","CHN","03","China","USA","United States",2018,"Gross Imp.",1,1250828.496
"H5","CHN","03","China","USA","United States",2019,"Gross Exp.",2,1353385.581
"H5","CHN","03","China","USA","United States",2019,"Gross Imp.",1,912159.41
"H5","CHN","03","China","USA","United States",2020,"Gross Exp.",2,1112676.003
"H5","CHN","03","China","USA","United States",2020,"Gross Imp.",1,776983.953
"H5","CHN","03","China","USA","United States",2021,"Gross Exp.",2,1135358.737
"H5","CHN","03","China","USA","United States",2021,"Gross Imp.",1,975163.232
"H5","CHN","03","China","WLD"," World",2017,"Gross Exp.",2,13252542.227
"H5","CHN","03","China","WLD"," World",2017,"Gross Imp.",1,8070777.269
"H5","CHN","03","China","WLD"," World",2018,"Gross Exp.",2,13256011.1
"H5","CHN","03","China","WLD"," World",2018,"Gross Imp.",1,11599017.824
"H5","CHN","03","China","WLD"," World",2019,"Gross Exp.",2,12467027.921
"H5","CHN","03","China","WLD"," World",2019,"Gross Imp.",1,15414354.725
"H5","CHN","03","China","WLD"," World",2020,"Gross Exp.",2,10710803.005
"H5","CHN","03","China","WLD"," World",2020,"Gross Imp.",1,12366189.004
"H5","CHN","03","China","WLD"," World",2021,"Gross Exp.",2,11018990.483
"H5","CHN","03","China","WLD"," World",2021,"Gross Imp.",1,13806437.455
"H5","CHN","04","China","CHN","China",2017,"Gross Imp.",1,614.238
"H5","CHN","04","China","CHN","China",2018,"Gross Imp.",1,48.626
"H5","CHN","04","China","CHN","China",2019,"Gross Imp.",1,530.588
"H5","CHN","04","China","CHN","China",2020,"Gross Imp.",1,8.661
"H5","CHN","04","China","CHN","China",2021,"Gross Imp.",1,13.352
"H5","CHN","04","China","USA","United States",2017,"Gross Exp.",2,14861.169
"H5","CHN","04","China","USA","United States",2017,"Gross Imp.",1,427851.656
